language;voc;page;line;Type;Der-Die-Das;Mot en ALL;pluriel;Mot FR
allemand;voc6;p42;12;phrase;;Kann ich bitte noch eine Cola haben?;;Pourrais je encore avoir un coco SVP?
allemand;voc6;p39;1;mot;Das;Museum;die Museen;le musée
allemand;voc6;p39;2;mot;Der;Zoo;-s;le zoo
allemand;voc6;p39;3;mot;Das;Zentrum;;le centre
allemand;voc6;p39;4;mot;Die;Fahrkarte;-n;le billet, le titre de transport
allemand;voc6;p39;5;mot;;kaufen;;acheter
allemand;voc6;p39;5;verbe;;kaufen, er kauft, hat gekauft;;acheter (conjugaison)
allemand;voc6;p39;6;mot;;essen;;manger
allemand;voc6;p39;6;verbe;;essen, er isst, hat gegessen;;manger (conjugaison)
allemand;voc6;p39;7;mot;;besuchen;;visiter
allemand;voc6;p39;7;verbe;;besuchen, er besucht, hat besucht;;visiter (conjugaison)
allemand;voc6;p39;8;mot;;mit|kommen;;venir avec qqn
allemand;voc6;p39;8;verbe;;mit|kommen, er kommt mit, ist mitgekommen;;venir avec qqn (conjugaison)
allemand;voc6;p39;9;phrase;;kommst du mit?;;Tu viens (avec moi avec nous)?
allemand;voc6;p39;10;mot;Die;Kirche;-n;l église
allemand;voc6;p39;11;phrase;;Sie geht in die Kirche;;elle va à l’église
allemand;voc6;p39;12;mot;Der;Turm;"""-e";la tour
allemand;voc6;p39;13;mot;Die;Brücke;-n;Le pont
allemand;voc6;p39;14;phrase;;Wir gehen über die Brücke;;Nous traversons le pont
allemand;voc6;p39;15;mot;Das;Stadion;Stadien;le stade
allemand;voc6;p39;16;mot;Das;Fussballstadion;-stadien;le stade de football
allemand;voc6;p39;17;mot;Die;Polizei;;la police
allemand;voc6;p39;18;phrase;;steigen, er steigt, ist gestiegen;; Jens et Martina ont rangé la cuisine
allemand;voc6;p39;19;phrase;;Wir sind auf dem Turm gestiegen;;nous sommes montés en haut de la tour
allemand;voc6;p39;20;verbe;;besichtigen, er besichtigt, hat besichtigt;;visiter (la ville) (conjugaison)
allemand;voc6;p39;21;phrase;;Wie haben die Stadt besichtigt;;nous avons visité la ville
allemand;voc6;p39;22;mot;Der;Meter;-;le mètre
allemand;voc6;p39;23;mot;Die;Altstadt;ä-e;la vieille ville, la cité
allemand;voc6;p39;24;mot;Das;Kunstmuseum;-museen;le musée d’art
allemand;voc7;p45;1;mot;der;Freund;-e;l’ami
allemand;voc7;p45;2;mot;die;Freundin;-nen;l’amie
allemand;voc7;p45;3;mot;der;Junge;-n;le garçon
allemand;voc7;p45;4;mot;das;Mädchen;-;la fille
allemand;voc7;p45;5;mot;das;Lied;-er;la chanson
allemand;voc7;p45;6;mot;;tanzen;;danser
allemand;voc7;p45;7;verbe;;er tanzt;;il danse
allemand;voc7;p45;8;verbe;;Er hat getanzt;;il a dansé
allemand;voc7;p45;9;mot;;langweilig;;ennuyeux,-euse
allemand;voc7;p45;10;mot;;kennen|lernen;;faire la connaissance de
allemand;voc7;p45;11;verbe;;er lernt Caro kennen;;il fait la connaissance de Caro
allemand;voc7;p45;12;verbe;;er hat Caro kennengelernt;;il a fait la connaissance de Caro
allemand;voc7;p45;13;mot;;sich treffen;;(se) rencontrer
allemand;voc7;p45;14;verbe;;er trịfft sich;;il se rencontrer
allemand;voc7;p45;15;verbe;;Er hat sich getrọffen;;il s’est rencontré
allemand;voc7;p45;16;phrase;;Martina und Jens haben sich getroffen.;;Martina et Jens se sont rencontrés.
allemand;voc7;p45;17;mot;;sprechen;;parler
allemand;voc7;p45;18;verbe;;sprechen, er spricht, hat gesprochen;;parler (conjugaison)
allemand;voc7;p45;19;phrase;;Alexandra hat mit Martina gesprochen.;;Alexandra a parlé avec Martina.
allemand;voc7;p45;20;verbe;;fern|sehen, er sieht fern, hat ferngesehen;;regarder la télé (conjugaison)
allemand;voc7;p46;1;mot;;zusammen;;ensemble
allemand;voc7;p46;2;phrase;;Wir spielen zusammen Fussball.;;Nous jouons au football ensemble.
allemand;voc7;p46;3;phrase;;Was ist passiert?;;Qu’est-ce qui s’est passé ?
allemand;voc7;p46;4;mot;;gehen;;aller
allemand;voc7;p46;5;verbe;;gehen, er geht, ist gegangen;;aller (conjugaison)
allemand;voc7;p46;6;phrase;;Martina und Jens sind ins Kino gegangen.;;Martina et Jens sont allés au cinéma.
allemand;voc7;p46;7;phrase;;sein;;être
allemand;voc7;p46;8;verbe;;sein, er ist, ist gewesen;;être (conjugaison)
allemand;voc7;p46;9;phrase;;Sophie ist auch im Kino gewesen.;;Sophie a aussi été au cinéma.
allemand;voc7;p46;10;mot;;zu|hören;;écouter
allemand;voc7;p46;11;verbe;;er hört zu, hat zugehört;;écouter (conjugaison)
allemand;voc7;p46;12;mot;;lügen;;mentir
allemand;voc7;p46;13;verbe;;lügen, er lügt, hat gelogen;;mentir (conjugaison)
allemand;voc7;p46;14;phrase;;Martina hat gelogen.;;Martina a menti.
allemand;voc7;p46;15;mot;die;Freundschaft;-en;l’amitié
allemand;voc7;p46;16;mot;das;Tagebuch;ü-er;le journal (intime)
allemand;voc7;p46;17;mot;;wütend;;furieux-euse
allemand;voc7;p46;18;phrase;;Alexandra ist wütend.;;Alexandra est furieuse.
allemand;voc7;p46;19;mot;;helfen;;aider
allemand;voc7;p46;20;verbe;;helfen, er hilft, hat geholfen;;aider (conjugaison)
allemand;voc7;p46;21;mot;der;Anfang;ä-e;le début
allemand;voc7;p46;22;mot;der;Tipp;-s;le conseil
allemand;voc7;p46;23;mot;;enttäuscht;;déçu-e
allemand;voc7;p46;24;phrase;;Alexandra ist enttäuscht.;;Alexandra est déçue.
allemand;voc7;p46;25;mot;der;Streit;(Sg.);la dispute
allemand;voc7;p46;26;phrase;;Alexandra und Martina haben Streit.;;Alexandra et Martina ont une dispute.
allemand;voc7;p46;27;phrase;;Freunde fürs Leben;;des amis pour la vie
allemand;voc7;p46;28;phrase;;nicht mehr;;ne… plus
allemand;voc7;p46;29;phrase;;nicht mehr zusammen;;sein ne plus être ensemble
allemand;voc7;p46;30;phrase;;keine Freunde/Freundinnen mehr sein;;ne plus être ami(e)s
allemand;voc7;p46;31;phrase;;Was soll ich nur machen?;;Que dois-je faire ?
allemand;voc7;p46;32;phrase;;sich fühlen;;se sentir
